[2025-06-11 15:11:00] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 15:11:10] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 15:11:20] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 15:11:30] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 15:11:40] Score: 70, Time: 1:09, Kills: 0, Cubes: 0
[2025-06-11 15:11:50] Score: 80, Time: 1:19, Kills: 0, Cubes: 0
[2025-06-11 15:12:00] Score: 90, Time: 1:30, Kills: 0, Cubes: 0
[2025-06-11 15:12:10] Score: 100, Time: 1:40, Kills: 0, Cubes: 0
[2025-06-11 15:12:20] Score: 110, Time: 1:50, Kills: 0, Cubes: 0
[2025-06-11 15:36:10] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 15:36:20] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 15:36:30] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 15:36:40] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 15:36:50] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 15:37:00] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 15:37:10] Score: 70, Time: 1:09, Kills: 0, Cubes: 0
[2025-06-11 15:37:20] Score: 80, Time: 1:19, Kills: 0, Cubes: 0
[2025-06-11 15:37:30] Score: 90, Time: 1:29, Kills: 0, Cubes: 0
[2025-06-11 15:37:40] Score: 100, Time: 1:39, Kills: 0, Cubes: 0
[2025-06-11 15:37:50] Score: 110, Time: 1:49, Kills: 0, Cubes: 0
[2025-06-11 15:38:00] Score: 120, Time: 1:59, Kills: 0, Cubes: 0
[2025-06-11 15:38:10] Score: 1130, Time: 2:09, Kills: 0, Cubes: 1
[2025-06-11 15:38:20] Score: 1140, Time: 2:19, Kills: 0, Cubes: 1
[2025-06-11 15:38:30] Score: 1150, Time: 2:30, Kills: 0, Cubes: 1
[2025-06-11 15:38:40] Score: 1160, Time: 2:40, Kills: 0, Cubes: 1
[2025-06-11 15:38:50] Score: 2170, Time: 2:50, Kills: 0, Cubes: 2
[2025-06-11 15:39:00] Score: 2180, Time: 3:00, Kills: 0, Cubes: 2
[2025-06-11 15:39:10] Score: 2190, Time: 3:10, Kills: 0, Cubes: 2
[2025-06-11 16:19:23] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 16:19:45] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 16:19:55] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 16:20:05] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 16:20:15] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 16:20:25] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 16:52:57] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 16:53:07] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 16:53:17] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 16:53:27] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 16:53:37] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 16:53:47] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 16:57:52] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 16:58:13] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 16:58:23] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 16:58:33] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 16:58:43] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 16:58:53] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 16:59:03] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 16:59:13] Score: 70, Time: 1:09, Kills: 0, Cubes: 0
[2025-06-11 16:59:23] Score: 80, Time: 1:19, Kills: 0, Cubes: 0
[2025-06-11 16:59:33] Score: 90, Time: 1:29, Kills: 0, Cubes: 0
[2025-06-11 16:59:43] Score: 100, Time: 1:40, Kills: 0, Cubes: 0
[2025-06-11 16:59:53] Score: 110, Time: 1:50, Kills: 0, Cubes: 0
[2025-06-11 17:00:03] Score: 120, Time: 1:59, Kills: 0, Cubes: 0
[2025-06-11 17:00:13] Score: 130, Time: 2:10, Kills: 0, Cubes: 0
[2025-06-11 17:00:23] Score: 140, Time: 2:20, Kills: 0, Cubes: 0
[2025-06-11 17:00:33] Score: 150, Time: 2:30, Kills: 0, Cubes: 0
[2025-06-11 17:00:43] Score: 160, Time: 2:40, Kills: 0, Cubes: 0
[2025-06-11 17:00:53] Score: 170, Time: 2:50, Kills: 0, Cubes: 0
[2025-06-11 17:01:03] Score: 180, Time: 3:00, Kills: 0, Cubes: 0
[2025-06-11 17:01:13] Score: 190, Time: 3:10, Kills: 0, Cubes: 0
[2025-06-11 17:01:23] Score: 200, Time: 3:20, Kills: 0, Cubes: 0
[2025-06-11 17:01:33] Score: 210, Time: 3:30, Kills: 0, Cubes: 0
[2025-06-11 17:01:43] Score: 220, Time: 3:40, Kills: 0, Cubes: 0
[2025-06-11 17:01:53] Score: 230, Time: 3:50, Kills: 0, Cubes: 0
[2025-06-11 17:02:03] Score: 240, Time: 4:00, Kills: 0, Cubes: 0
[2025-06-11 17:02:13] Score: 250, Time: 4:10, Kills: 0, Cubes: 0
[2025-06-11 17:02:23] Score: 260, Time: 4:20, Kills: 0, Cubes: 0
[2025-06-11 17:02:33] Score: 270, Time: 4:30, Kills: 0, Cubes: 0
[2025-06-11 17:02:43] Score: 280, Time: 4:40, Kills: 0, Cubes: 0
[2025-06-11 17:02:53] Score: 290, Time: 4:50, Kills: 0, Cubes: 0
[2025-06-11 17:03:03] Score: 300, Time: 5:00, Kills: 0, Cubes: 0
[2025-06-11 17:03:13] Score: 310, Time: 5:10, Kills: 0, Cubes: 0
[2025-06-11 17:03:23] Score: 320, Time: 5:20, Kills: 0, Cubes: 0
[2025-06-11 17:25:07] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 17:25:17] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 17:25:27] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 17:25:37] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 17:25:47] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 17:25:57] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 17:26:07] Score: 70, Time: 1:09, Kills: 0, Cubes: 0
[2025-06-11 17:35:43] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 17:35:53] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 17:36:03] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 17:37:44] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 17:37:54] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 17:38:04] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 17:38:14] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 17:38:24] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 17:38:34] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 17:38:59] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 17:39:09] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 17:39:19] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 17:39:29] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 17:39:39] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 17:41:05] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 17:41:15] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 17:41:25] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 17:41:35] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 17:43:05] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 17:43:15] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 17:54:29] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 17:54:39] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 17:54:49] Score: 1030, Time: 0:29, Kills: 0, Cubes: 1
[2025-06-11 17:54:59] Score: 1040, Time: 0:39, Kills: 0, Cubes: 1
[2025-06-11 17:55:09] Score: 1050, Time: 0:49, Kills: 0, Cubes: 1
[2025-06-11 18:03:39] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 18:03:49] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 18:03:59] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 18:04:45] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 18:04:55] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 18:05:56] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 18:06:06] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 18:06:16] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 18:06:26] Score: 1040, Time: 0:39, Kills: 0, Cubes: 1
[2025-06-11 18:06:36] Score: 1050, Time: 0:49, Kills: 0, Cubes: 1
[2025-06-11 18:06:46] Score: 1060, Time: 1:00, Kills: 0, Cubes: 1
[2025-06-11 18:14:41] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 18:14:51] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 18:15:01] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 18:15:11] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 18:15:21] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 18:15:31] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 18:15:41] Score: 70, Time: 1:10, Kills: 0, Cubes: 0
[2025-06-11 18:15:51] Score: 80, Time: 1:20, Kills: 0, Cubes: 0
[2025-06-11 18:16:01] Score: 90, Time: 1:30, Kills: 0, Cubes: 0
[2025-06-11 18:16:11] Score: 100, Time: 1:40, Kills: 0, Cubes: 0
[2025-06-11 18:16:21] Score: 110, Time: 1:50, Kills: 0, Cubes: 0
[2025-06-11 18:16:31] Score: 120, Time: 2:00, Kills: 0, Cubes: 0
[2025-06-11 18:16:41] Score: 130, Time: 2:10, Kills: 0, Cubes: 0
[2025-06-11 18:16:51] Score: 140, Time: 2:20, Kills: 0, Cubes: 0
[2025-06-11 18:17:01] Score: 150, Time: 2:30, Kills: 0, Cubes: 0
[2025-06-11 18:17:11] Score: 160, Time: 2:40, Kills: 0, Cubes: 0
[2025-06-11 18:17:21] Score: 170, Time: 2:50, Kills: 0, Cubes: 0
[2025-06-11 18:17:31] Score: 180, Time: 3:00, Kills: 0, Cubes: 0
[2025-06-11 18:17:41] Score: 190, Time: 3:10, Kills: 0, Cubes: 0
[2025-06-11 18:17:51] Score: 200, Time: 3:20, Kills: 0, Cubes: 0
[2025-06-11 18:28:02] Score: 1010, Time: 0:09, Kills: 0, Cubes: 1
[2025-06-11 18:28:12] Score: 1020, Time: 0:19, Kills: 0, Cubes: 1
[2025-06-11 18:28:22] Score: 1030, Time: 0:29, Kills: 0, Cubes: 1
[2025-06-11 18:28:32] Score: 1040, Time: 0:39, Kills: 0, Cubes: 1
[2025-06-11 18:28:42] Score: 1050, Time: 0:49, Kills: 0, Cubes: 1
[2025-06-11 18:28:52] Score: 1060, Time: 0:59, Kills: 0, Cubes: 1
[2025-06-11 18:43:18] Score: 9, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 18:43:28] Score: 19, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 18:43:38] Score: 29, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 18:43:48] Score: 39, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 18:43:58] Score: 49, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 18:44:08] Score: 59, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 18:49:06] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
[2025-06-11 18:49:16] Score: 20, Time: 0:19, Kills: 0, Cubes: 0
[2025-06-11 18:49:26] Score: 30, Time: 0:29, Kills: 0, Cubes: 0
[2025-06-11 18:49:36] Score: 40, Time: 0:39, Kills: 0, Cubes: 0
[2025-06-11 18:49:46] Score: 50, Time: 0:49, Kills: 0, Cubes: 0
[2025-06-11 18:49:56] Score: 60, Time: 0:59, Kills: 0, Cubes: 0
[2025-06-11 18:50:06] Score: 70, Time: 1:09, Kills: 0, Cubes: 0
[2025-06-11 18:50:16] Score: 80, Time: 1:20, Kills: 0, Cubes: 0
[2025-06-11 18:50:26] Score: 90, Time: 1:30, Kills: 0, Cubes: 0
[2025-06-11 18:50:36] Score: 100, Time: 1:40, Kills: 0, Cubes: 0
[2025-06-11 18:50:46] Score: 110, Time: 1:50, Kills: 0, Cubes: 0
[2025-06-11 18:50:56] Score: 120, Time: 2:00, Kills: 0, Cubes: 0
